"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sand","sd.relief","hard.corals","mean.relief","status","cumsum.wi"
"NA.hard.corals+sand","hard.corals+sand",624.067253902166,664.3400380229,0.17616,NA,16.76,0,2.517,6.92,0.055,0.009,1,0,1,0,0,0.866
"NA.sd.relief","sd.relief",624.34898985027,661.600144028119,0.15305,NA,15.77,0,2.799,4.18,0.048,0.037,0,1,0,0,0,0.914
"NA1","hard.corals+sand",858.018442471947,899.267294062936,0.50339,NA,18,0,0,0,0.688,0.277,1,0,1,0,0,0.688
"NA.null1","null",721.778329762089,756.491773399739,0.3658,NA,13.99,0,0,0,0.3,0.42,0,0,0,0,0,0.3
"NA.status1","status",722.048287825863,757.009785145517,0.35663,NA,14.16,0,0.27,0.518,0.262,0.324,0,0,0,0,1,0.562
"NA.sand1","sand",723.213795776201,759.458037968665,0.37591,NA,14.94,0,1.435,2.966,0.147,0.095,1,0,0,0,0,0.709
"NA.sand+status1","sand+status",723.316790136076,759.787003902132,0.36771,NA,15.1,0,1.538,3.295,0.139,0.081,1,0,0,0,1,0.848
"NA.sd.relief1","sd.relief",724.268604095399,760.341934575767,0.36828,NA,14.85,0,2.49,3.85,0.086,0.061,0,1,0,0,0,0.934
"NA.status2","status",602.131748338275,638.187766002625,0.3618,NA,14.85,0,0,0,0.342,0.445,0,0,0,0,1,0.342
"NA.null2","null",602.227483516368,638.396379859679,0.37051,NA,14.96,0,0.096,0.209,0.326,0.401,0,0,0,0,0,0.668
"NA.hard.corals1","hard.corals",604.243248715315,641.834059880886,0.36336,NA,15.87,0,2.112,3.646,0.119,0.072,0,0,1,0,0,0.787
"NA.mean.relief","mean.relief",604.823588623432,642.342819441924,0.37485,NA,15.85,0,2.692,4.155,0.089,0.056,0,0,0,1,0,0.876
"NA.hard.corals+sand1","hard.corals+sand",575.751553966956,617.080898524218,0.09937,NA,16.95,0,0,4.692,0.354,0.031,1,0,1,0,0,0.354
"NA.mean.relief1","mean.relief",577.307040530133,612.999674521735,0.07978,NA,14.26,0,1.555,0.61,0.163,0.242,0,0,0,1,0,0.517
"NA.hard.corals2","hard.corals",577.581401381245,615.373901371339,0.08346,NA,15.29,0,1.83,2.985,0.142,0.074,0,0,1,0,0,0.659
"NA.null3","null",578.401511951626,612.389230808425,0.06815,NA,13.2,0,2.65,0,0.094,0.328,0,0,0,0,0,0.753
"NA.status3","status",578.6523326387,613.098883576627,0.06531,NA,13.55,0,2.901,0.71,0.083,0.23,0,0,0,0,1,0.836
"NA.hard.corals+sand2","hard.corals+sand",795.247715375709,837.257156216181,0.61312,NA,18.22,0,0,3.612,0.363,0.063,1,0,1,0,0,0.363
"NA.null4","null",796.945198308004,833.645603493215,0.59066,NA,15.28,0,1.697,0,0.155,0.382,0,0,0,0,0,0.518
"NA.status4","status",797.121499240376,833.952763558287,0.58802,NA,15.36,0,1.874,0.307,0.142,0.328,0,0,0,0,1,0.66
"NA.mean.relief2","mean.relief",797.602144534956,837.136360001832,0.59704,NA,16.87,0,2.354,3.491,0.112,0.067,0,0,0,1,0,0.772
"NA.hard.corals3","hard.corals",797.944494514537,837.491395248848,0.58803,NA,16.64,0,2.697,3.846,0.094,0.056,0,0,1,0,0,0.866
"NA.sand.by.status+status","sand.by.status+status",276.07947803642,312.976469848289,0.27531,NA,15.37,0,0,0,0.536,0.612,1,0,0,0,1,0.536
