"","mean.relief","sd.relief","hard.corals","rock","min.length","school.size","Status"
"mean.relief",1,-0.512789354905966,0.289868904353205,0.384522883525204,0.0760932427936372,-0.0273901085057862,0.428548632922348
"sd.relief",-0.512789354905966,1,-0.149992287034,-0.369568419166973,-0.0264577999265064,0.0378304920677418,0.276650404690327
"hard.corals",0.289868904353205,-0.149992287034,1,-0.463626333214713,-0.0236918742806946,0.0149484690997902,0.481855160411227
"rock",0.384522883525204,-0.369568419166973,-0.463626333214713,1,0.0685452097876998,-0.0398396162146025,0.187072170324624
"min.length",0.0760932427936372,-0.0264577999265064,-0.0236918742806946,0.0685452097876998,1,-0.117514839422578,0.0438842132472477
"school.size",-0.0273901085057862,0.0378304920677418,0.0149484690997902,-0.0398396162146025,-0.117514839422578,1,0.0238046821632246
"Status",0.428548632922348,0.276650404690327,0.481855160411227,0.187072170324624,0.0438842132472477,0.0238046821632246,1
