"","mean.relief","sd.relief","hard.corals","rock","mean.length","min.length","max.length","school.size","Status"
"Chlorurus sordidus",0.083,0.329,0.132,0.216,0,0.848,0,0.256,0.438
"Ctenochaetus striatus",0.012,0.011,0.116,0.011,0.271,0.365,0.037,0.143,0.231
