"","mean.relief","sd.relief","hard.corals","rock","Length","Status","School"
"Ctenochaetus striatus",0.00142857142857143,0.0017,8e-04,0.0425652173913043,0.0285428571428571,0.05625,0.000543478260869565
"Chlorurus sordidus",0.000142857142857143,0.011,0,0.0489411764705882,0.0294411764705882,0.00225,0.0232857142857143
