"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","sd.relief","Status","cumsum.wi"
"NA.Status3","Status",809.138894297445,846.272256099212,0.58821,NA,15.31,0,0.189,0.34,0.262,0.325,0,0,1,0.55
"NA.reef3","reef",809.69085828814,848.007752662647,0.60722,NA,16,0,0.741,2.075,0.199,0.137,1,0,0,0.749
"NA.reef+Status3","reef+Status",810.053093059176,848.556694297388,0.6031,NA,16.09,0,1.103,2.624,0.166,0.104,1,0,1,0.915
"NA","reef.by.Status+Status",828.83845544487,865.92290829018,0.27619,NA,15.28,0,0,0,1,1,1,0,1,1
"NA.null4","null",131.6957770889,162.032868993803,0.20031,NA,10.99,0,0,0,0.509,0.647,0,0,0,0.509
"NA.Status4","Status",133.252195776142,164.257053264976,0.18434,NA,11.21,0,1.556,2.224,0.234,0.213,0,0,1,0.743
"NA.null5","null",724.407680031985,758.580219108572,0.32025,NA,13.45,0,0,0,0.271,0.43,0,0,0,0.271
"NA.reef4","reef",724.604450053655,760.480618845862,0.33593,NA,14.48,0,0.197,1.9,0.246,0.166,1,0,0,0.517
"NA.Status5","Status",724.952070257072,759.534840632084,0.31255,NA,13.69,0,0.544,0.955,0.207,0.267,0,0,1,0.724
"NA.reef+Status4","reef+Status",724.972943050155,761.200760259696,0.32799,NA,14.7,0,0.565,2.621,0.204,0.116,1,0,1,0.928
"NA.null6","null",856.495501205918,889.02753429325,0.11671,NA,12.55,0,0,0,0.271,0.363,0,0,0,0.271
"NA.Status6","Status",856.57523732491,889.297497429739,0.1053,NA,12.7,0,0.08,0.27,0.26,0.317,0,0,1,0.531
"NA.reef+Status5","reef+Status",857.194886363975,890.969200386773,0.11109,NA,13.31,0,0.699,1.942,0.191,0.137,1,0,1,0.722
"NA.reef5","reef",857.457367797137,891.304292352258,0.12499,NA,13.34,0,0.962,2.277,0.167,0.116,1,0,0,0.889
"NA.reef6","reef",518.860817966162,552.53903061917,0.14582,NA,13.26,0,0,0.621,0.257,0.225,1,0,0,0.257
"NA.null7","null",519.038339785846,551.918283632401,0.11032,NA,12.94,0,0.178,0,0.235,0.306,0,0,0,0.492
"NA.reef+Status6","reef+Status",519.079854190489,552.711593223019,0.12906,NA,13.17,0,0.219,0.793,0.231,0.206,1,0,1,0.723
"NA.Status7","Status",519.435653756958,552.662823204928,0.09937,NA,13.16,0,0.575,0.745,0.193,0.211,0,0,1,0.916
