"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","sd.relief","mean.relief","Status","TargetLoc","cumsum.wi"
"large.Status","Status",63307.0075556952,63439.608332377,0.0332,NA,15.87,0,0,0,0.507,0.502,0,0,0,1,0,0.507
"large.null","null",63307.061760329,63439.6283195672,0.03333,NA,15.87,0,0.054,0.02,0.493,0.498,0,0,0,0,0,1
