"","mean.relief","sd.relief","hard.corals","rock","mean.length","min.length","max.length","school.size","Status"
"Chlorurus sordidus",0.019,0.01,0.008,0.857,0,0.993,0,0.63,0.457
"Ctenochaetus striatus",0.006,0.002,0.003,0.992,0.094,0.904,0,0.011,0.974
