"","mean.relief","sd.relief","hard.corals","rock","mean.length","min.length","max.length","school.size","Status"
"Chlorurus sordidus",0.002,0.96,0,0.038,0,1.001,0,0.033,0.968
"Ctenochaetus striatus",0.089,0.074,0.071,0.841,0.146,0.835,0.001,0.105,0.702
