"","modname","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","mean.relief","sd.relief","hard.corals","rock","Length","Status","TargetLoc","School"
"TargetLoc.68","rock+Status+Length.by.Status",94360.85707239,94510.9336570506,0,0,0.68,0.711,0.326,21.61,0,0,0,0,1,1,1,0,0
"TargetLoc.84","Status+rock.by.Status+Length.by.Status",94362.6556102043,94524.6671186274,1.799,13.733,0.277,0.001,0.326,23.41,0,0,0,0,1,1,1,0,0
