"","modname","formula","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","mean.relief","sd.relief","hard.corals","rock","mean.length","min.length","max.length","school.size","Status","cumsum.wi"
"Chlorurus sordidus.61","rock+min.length+school.size","s(rock, k = 3, bs = ""cr"") + s(min.length, k = 3, bs = ""cr"") + s(school.size, k = 3, bs = ""cr"") + s(Site, Location, bs = ""re"")",14364.179799296,14460.1375796364,0,4.22,0.492,0.036,0.39,19.31,0,0,0,0,1,0,1,0,1,0,0.492
"Chlorurus sordidus.67","rock+Status+min.length.by.Status","s(rock, k = 3, bs = ""cr"") + s(min.length, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",14365.2847203238,14456.6466277293,1.105,0.729,0.283,0.207,0.388,18.32,0,0,0,0,1,0,1,0,0,1,0.775
"Ctenochaetus striatus","Status+rock.by.Status+min.length.by.Status","s(rock, by = Status, k = 3, bs = ""cr"") + s(min.length, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",21974.2902126486,22087.8136351496,0,12.682,0.734,0,0.261,21.07,0,0,0,0,1,0,1,0,0,1,0.734
