"","modname","formula","AICc","BIC","delta.AICc","delta.BIC","wi.AICc","wi.BIC","r2.vals","edf","edf.less.1","mean.relief","sd.relief","hard.corals","rock","mean.length","min.length","max.length","school.size","Status","cumsum.wi"
"Chlorurus sordidus","Status+sd.relief.by.Status+min.length.by.Status","s(sd.relief, by = Status, k = 3, bs = ""cr"") + s(min.length, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",12948.1000209534,13037.2236308386,0,3.782,0.817,0.081,0.387,18.29,0,0,1,0,0,0,1,0,0,1,0.817
"Ctenochaetus striatus","rock+Status+min.length.by.Status","s(rock, k = 3, bs = ""cr"") + s(min.length, by = Status, k = 3, bs = ""cr"") + Status + s(Site, Location, bs = ""re"")",19922.7243846928,20011.2964781693,0,1.029,0.398,0.099,0.247,16.54,0,0,0,0,1,0,1,0,0,1,0.398
