"mean.relief","sd.relief","Sample","fov.Limited","fov.Open","rock","macroalgae","hard.corals","sand","reef"
1.54545454545455,1.12222226809837,"MaIL2.1",0.5,99.5,0.727272727272727,0,0.163636363636364,0.109090909090909,0.890909090909091
1.42276422764228,0.98353769362207,"MaIL2.2",1.5,98.5,0.365853658536585,0,0.227642276422764,0.40650406504065,0.59349593495935
1.74380165289256,1.13672721456407,"MaIL2.3",4.5,95.5,0.454545454545455,0.0330578512396694,0.388429752066116,0.12396694214876,0.87603305785124
1.30232558139535,1.25998915646866,"MaIL2.4",0,100,0.131782945736434,0.00775193798449612,0.317829457364341,0.542635658914729,0.457364341085271
1.06666666666667,1.06758774334646,"MaIL2.5",0,100,0.504761904761905,0,0.20952380952381,0.285714285714286,0.714285714285714
1.25,1.0863609806046,"MaIL2.6",1,99,0.375,0,0.285714285714286,0.339285714285714,0.660714285714286
1.45132743362832,1.00881074292666,"MaIL3.1",0,100,0.584070796460177,0,0.292035398230089,0.123893805309735,0.876106194690266
1.54761904761905,0.890906440494335,"MaIL3.2",0,100,0.738095238095238,0,0.182539682539683,0.0793650793650794,0.920634920634921
1.6952380952381,1.0841853510622,"MaIL3.3",0,100,0.60952380952381,0.00952380952380952,0.20952380952381,0.171428571428571,0.828571428571429
1.72477064220183,1.03522729328383,"MaIL3.4",0,100,0.394495412844037,0,0.422018348623853,0.18348623853211,0.81651376146789
1.63963963963964,0.951484894952887,"MaIL3.5",0,100,0.522522522522523,0,0.207207207207207,0.27027027027027,0.72972972972973
1.74509803921569,1.05009452200487,"MaIL3.6",0,100,0.480392156862745,0,0.245098039215686,0.274509803921569,0.725490196078431
1.68032786885246,0.695515665081624,"MaIR1.1",0,100,0.459016393442623,0,0.540983606557377,0,1
1.64383561643836,0.661656500395654,"MaIR1.2",0,100,0.452054794520548,0,0.547945205479452,0,1
1.45454545454545,0.584766300632395,"MaIR1.3",0,99.5,0.6,0.00909090909090909,0.390909090909091,0,1
1.2751677852349,0.613574599560207,"MaIR1.4",0,100,0.691275167785235,0,0.308724832214765,0,1
1.43356643356643,0.707698517009917,"MaIR1.5",0,100,0.671328671328671,0,0.328671328671329,0,1
1.75806451612903,0.616454163455182,"MaIR1.6",0,100,0.403225806451613,0,0.596774193548387,0,1
2.10924369747899,0.710572888547513,"MaIR2.1",0,100,0.327731092436975,0,0.672268907563025,0,1
1.82644628099174,0.78185341710593,"MaIR2.2",0,100,0.380165289256198,0,0.619834710743802,0,1
1.47826086956522,0.7067700903741,"MaIR2.3",0,100,0.521739130434783,0,0.478260869565217,0,1
1.87931034482759,0.724180765492598,"MaIR2.4",0,100,0.310344827586207,0,0.689655172413793,0,1
1.75,0.698638131005772,"MaIR2.5",0,100,0.351351351351351,0,0.648648648648649,0,1
1.79824561403509,0.718649477758975,"MaIR2.6",0,100,0.359649122807018,0,0.640350877192982,0,1
1.50877192982456,1.22109492455759,"MaOL1N.1",0,100,0.657894736842105,0.192982456140351,0.0964912280701754,0.0526315789473684,0.947368421052632
1.616,0.859332073707962,"MaOL1N.2",6.5,93.5,0.92,0.024,0.032,0.024,0.976
1.75806451612903,0.849399287894318,"MaOL1N.3",2.5,97.5,0.82258064516129,0.0564516129032258,0.0483870967741935,0.0725806451612903,0.92741935483871
1.61428571428571,0.754704328075594,"MaOL1N.4",13,87,0.707142857142857,0.0357142857142857,0.0428571428571429,0.214285714285714,0.785714285714286
1.56390977443609,0.772180928110161,"MaOL1N.5",3,97,0.736842105263158,0.0225563909774436,0.0977443609022556,0.142857142857143,0.857142857142857
1.5625,0.718155993845392,"MaOL1N.6",3,97,0.3125,0.0625,0.0625,0.5625,0.4375
1.21186440677966,1.4133169744775,"MaOL2N.1",1,99,0.610169491525424,0.0593220338983051,0.0932203389830508,0.23728813559322,0.76271186440678
1.59558823529412,1.53178025921711,"MaOL2N.2",15.5,84.5,0.375,0.0588235294117647,0.139705882352941,0.426470588235294,0.573529411764706
1.48550724637681,1.58107192339704,"MaOL2N.3",7.5,92.5,0.376811594202899,0.0072463768115942,0.123188405797101,0.492753623188406,0.507246376811594
1.48076923076923,1.2616891838777,"MaOL2N.4",14.5,85.5,0.538461538461538,0.00961538461538462,0.0865384615384615,0.365384615384615,0.634615384615385
1.60909090909091,1.67055149134581,"MaOL2N.5",2.5,97.5,0.572727272727273,0.00909090909090909,0.136363636363636,0.281818181818182,0.718181818181818
1.66315789473684,1.41879876008282,"MaOL2N.6",10.5,89.5,0.463157894736842,0,0.157894736842105,0.378947368421053,0.621052631578947
1.45045045045045,1.10978080340824,"MaOL3W.1",3,97,0.378378378378378,0,0.0540540540540541,0.567567567567568,0.432432432432432
1.34513274336283,1.15549858985221,"MaOL3W.2",4,96,0.283185840707965,0,0.15929203539823,0.557522123893805,0.442477876106195
1.83458646616541,1.18180941861904,"MaOL3W.3",0.5,99.5,0.458646616541353,0.0075187969924812,0.240601503759398,0.293233082706767,0.706766917293233
1.14876033057851,1.33329889762694,"MaOL3W.4",0,100,0.214876033057851,0,0.206611570247934,0.578512396694215,0.421487603305785
1.22764227642276,1.19296440336929,"MaOL3W.5",0,100,0.260162601626016,0,0.154471544715447,0.585365853658537,0.414634146341463
1.17094017094017,1.1543814457326,"MaOL3W.6",0.5,99.5,0.299145299145299,0,0.145299145299145,0.555555555555556,0.444444444444444
1.60869565217391,0.666560871749446,"MaOR1N.1",0,100,0.311594202898551,0,0.688405797101449,0,1
1.32307692307692,0.516628675003063,"MaOR1N.2",0,100,0.415384615384615,0,0.584615384615385,0,1
