Periods

Generated: Wednesday, May 03, 2017 08:12:50

Period	Start filename	Start frame	Start time (mins)	End filename	End frame	End time (mins)	Period length (mins)	OpCode	Tape Reader	Depth	Comment								
6	MoOR2S_L461.avi	  83634	  23.2549	MoOR2S_L461.avi	  89882	  24.9922	   1.7373	MoOR2S	Ellen										
1	TeOL2S_L461.avi	  50196	  13.9433	TeOL2S_L461.avi	  58501	  16.2503	   2.3069	TeOL2S	Brooke										
2	TeOL2S_L461.avi	  61762	  17.1561	TeOL2S_L461.avi	  69714	  19.3650	   2.2089	TeOL2S	Brooke										
3	TeOL2S_L461.avi	  72266	  20.0739	TeOL2S_L461.avi	  79469	  22.0747	   2.0008	TeOL2S	Brooke										
4	TeOL2S_L461.avi	  84968	  23.6022	TeOL2S_L461.avi	  92791	  25.7753	   2.1731	TeOL2S	Brooke										
5	TeOL2S_L461.avi	  95559	  26.5442	TeOL2S_L461.avi	 102259	  28.4053	   1.8611	TeOL2S	Brooke										
6	TeOL2S_L461.avi	 104993	  29.1647	TeOL2S_L461.avi	 112227	  31.1742	   2.0094	TeOL2S	Brooke										
1	TiIL3_L461.avi	  42131	  11.7148	TiIL3_L461.avi	  50650	  14.0835	   2.3688	TiIL3	Brooke										
2	TiIL3_L461.avi	  53114	  14.7687	TiIL3_L461.avi	  62130	  17.2756	   2.5070	TiIL3	Brooke										
3	TiIL3_L461.avi	  69256	  19.2570	TiIL3_L461.avi	  77800	  21.6327	   2.3757	TiIL3	Brooke										
4	TiIL3_L461.avi	  80228	  22.3079	TiIL3_L461.avi	  86395	  24.0226	   1.7148	TiIL3	Brooke										
5	TiIL3_L461.avi	  89336	  24.8404	TiIL3_L461.avi	  95547	  26.5674	   1.7270	TiIL3	Brooke										
6	TiIL3_L461.avi	  99288	  27.6076	TiIL3_L461.avi	 107613	  29.9224	   2.3148	TiIL3	Brooke										
1	TiOL3W_L461.avi	  44437	  12.3436	TiOL3W_L461.avi	  53478	  14.8550	   2.5114	TeOL3N	Brooke	0.8 m									
2	TiOL3W_L461.avi	  57378	  15.9383	TiOL3W_L461.avi	  64049	  17.7914	   1.8531	TeOL3N	Brooke	0.8 m									
3	TiOL3W_L461.avi	  66770	  18.5472	TiOL3W_L461.avi	  74836	  20.7878	   2.2406	TeOL3N	Brooke	0.8 m									
4	TiOL3W_L461.avi	  78196	  21.7211	TiOL3W_L461.avi	  86096	  23.9156	   2.1944	TeOL3N	Brooke	0.8 m									
5	TiOL3W_L461.avi	  88712	  24.6422	TiOL3W_L461.avi	  96838	  26.8994	   2.2572	TeOL3N	Brooke	0.8 m									
6	TiOL3W_L461.avi	 100158	  27.8217	TiOL3W_L461.avi	 108213	  30.0592	   2.2375	TeOL3N	Brooke	0.8 m									
1	NIR1_L461.avi	  21399	   5.9501	NIR1_L461.avi	  28834	   8.0175	   2.0673	NIR1	Brooke										
2	NIR1_L461.avi	  31552	   8.7732	NIR1_L461.avi	  39277	  10.9212	   2.1480	NIR1	Brooke										
3	NIR1_L461.avi	  43207	  12.0140	NIR1_L461.avi	  51022	  14.1870	   2.1730	NIR1	Brooke										
4	NIR1_L461.avi	  54137	  15.0531	NIR1_L461.avi	  61633	  17.1374	   2.0843	NIR1	Brooke										
5	NIR1_L461.avi	  64739	  18.0011	NIR1_L461.avi	  72880	  20.2647	   2.2637	NIR1	Brooke										
6	NIR1_L461.avi	  75884	  21.1000	NIR1_L461.avi	  83562	  23.2349	   2.1349	NIR1	Brooke										
1	POL4W_L461.avi	  44168	  12.2811	POL4W_L461.avi	  53692	  14.9293	   2.6482	POL4W	Ellen										
2	POL4W_L461.avi	  60219	  16.7442	POL4W_L461.avi	  67623	  18.8029	   2.0587	POL4W	Ellen										
3	POL4W_L461.avi	  73902	  20.5488	POL4W_L461.avi	  82556	  22.9551	   2.4063	POL4W	Ellen										
4	POL4W_L461.avi	  89562	  24.9032	POL4W_L461.avi	  97002	  26.9719	   2.0687	POL4W	Ellen										
5	POL4W_L461.avi	 102856	  28.5996	POL4W_L461.avi	 110513	  30.7287	   2.1291	POL4W	Ellen										
6	POL4W_L461.avi	 120154	  33.4094	POL4W_L461.avi	 125323	  34.8467	   1.4373	POL4W	Ellen										
1	MaIR1_L461.avi	  59274	  16.4815	MaIR1_L461.avi	  67059	  18.6461	   2.1647	MaIR1	Brooke										
2	MaIR1_L461.avi	  68621	  19.0805	MaIR1_L461.avi	  74311	  20.6626	   1.5821	MaIR1	Brooke										
3	MaIR1_L461.avi	  77480	  21.5438	MaIR1_L461.avi	  85092	  23.6603	   2.1166	MaIR1	Brooke										
4	MaIR1_L461.avi	  89054	  24.7620	MaIR1_L461.avi	  94154	  26.1801	   1.4181	MaIR1	Brooke										
5	MaIR1_L461.avi	 100056	  27.8212	MaIR1_L461.avi	 107411	  29.8663	   2.0451	MaIR1	Brooke										
6	MaIR1_L461.avi	 110750	  30.7947	MaIR1_L461.avi	 117148	  32.5737	   1.7790	MaIR1	Brooke										
1	TiIL4_L461.avi	  38131	  10.6025	TiIL4_L461.avi	  46930	  13.0492	   2.4466	TiIL4	Brooke										
2	TiIL4_L461.avi	  51915	  14.4353	TiIL4_L461.avi	  61930	  17.2200	   2.7847	TiIL4	Brooke										
3	TiIL4_L461.avi	  69849	  19.4219	TiIL4_L461.avi	  79329	  22.0579	   2.6360	TiIL4	Brooke										
4	TiIL4_L461.avi	  86740	  24.1186	TiIL4_L461.avi	  96374	  26.7974	   2.6788	TiIL4	Brooke										
5	TiIL4_L461.avi	 104524	  29.0635	TiIL4_L461.avi	 111965	  31.1325	   2.0690	TiIL4	Brooke										
6	TiIL4_L461.avi	 116378	  32.3596	TiIL4_L461.avi	 124024	  34.4856	   2.1260	TiIL4	Brooke										
1	TaOL1N_L461.avi	  31686	   8.8016	TaOL1N_L461.avi	  39295	  10.9152	   2.1136	TaOL1N	Ellen										
2	TaOL1N_L461.avi	  42919	  11.9219	TaOL1N_L461.avi	  51152	  14.2088	   2.2869	TaOL1N	Ellen										
3	TaOL1N_L461.avi	  55809	  15.5024	TaOL1N_L461.avi	  64603	  17.9452	   2.4428	TaOL1N	Ellen										
4	TaOL1N_L461.avi	  68229	  18.9524	TaOL1N_L461.avi	  75338	  20.9271	   1.9747	TaOL1N	Ellen										
5	TaOL1N_L461.avi	  79449	  22.0691	TaOL1N_L461.avi	  85659	  23.7941	   1.7250	TaOL1N	Ellen										
6	TaOL1N_L461.avi	  92157	  25.5991	TaOL1N_L461.avi	  99613	  27.6702	   2.0711	TaOL1N	Ellen										
1	MoOR4N_L461.avi	  29186	   8.1153	MoOR4N_L461.avi	  36827	  10.2400	   2.1246	MoOR4N	Ellen										
2	MoOR4N_L461.avi	  39088	  10.8686	MoOR4N_L461.avi	  46832	  13.0219	   2.1533	MoOR4N	Ellen										
3	MoOR4N_L461.avi	  48932	  13.6058	MoOR4N_L461.avi	  57121	  15.8828	   2.2770	MoOR4N	Ellen										
4	MoOR4N_L461.avi	  59314	  16.4926	MoOR4N_L461.avi	  67235	  18.6951	   2.2025	MoOR4N	Ellen										
5	MoOR4N_L461.avi	  69337	  19.2796	MoOR4N_L461.avi	  76679	  21.3210	   2.0415	MoOR4N	Ellen										
6	MoOR4N_L461.avi	  78994	  21.9647	MoOR4N_L461.avi	  86115	  23.9448	   1.9800	MoOR4N	Ellen										
1	MaOL1N_L461.avi	  26280	   7.3000	MaOL1N_L461.avi	  34311	   9.5308	   2.2308	MaOL1N	Ellen										
2	MaOL1N_L461.avi	  37355	  10.3763	MaOL1N_L461.avi	  43677	  12.1325	   1.7561	MaOL1N	Ellen										
3	MaOL1N_L461.avi	  50121	  13.9224	MaOL1N_L461.avi	  58219	  16.1719	   2.2494	MaOL1N	Ellen										
4	MaOL1N_L461.avi	  62471	  17.3530	MaOL1N_L461.avi	  70065	  19.4624	   2.1094	MaOL1N	Ellen										
5	MaOL1N_L461.avi	  74142	  20.5949	MaOL1N_L461.avi	  82379	  22.8830	   2.2880	MaOL1N	Ellen										
6	MaOL1N_L461.avi	  87978	  24.4382	MaOL1N_L461.avi	  95667	  26.5741	   2.1358	MaOL1N	Ellen										
1	TiOL4W_L461.avi	  33524	   9.3215	TiOL4W_L461.avi	  41601	  11.5674	   2.2459	TiOL4W	Ellen										
2	TiOL4W_L461.avi	  44366	  12.3362	TiOL4W_L461.avi	  52108	  14.4889	   2.1527	TiOL4W	Ellen										
3	TiOL4W_L461.avi	  55126	  15.3281	TiOL4W_L461.avi	  62418	  17.3556	   2.0276	TiOL4W	Ellen										
4	TiOL4W_L461.avi	  65880	  18.3183	TiOL4W_L461.avi	  72801	  20.2427	   1.9244	TiOL4W	Ellen										
5	TiOL4W_L461.avi	  76197	  21.1870	TiOL4W_L461.avi	  84459	  23.4842	   2.2973	TiOL4W	Ellen										
6	TiOL4W_L461.avi	  87526	  24.3370	TiOL4W_L461.avi	  96566	  26.8507	   2.5136	TiOL4W	Ellen										
1	TiOL3W_L461.avi	  13903	   3.8658	TiOL3W_L461.avi	  21860	   6.0783	   2.2125	TiOL3W	Ellen										
2	TiOL3W_L461.avi	  25963	   7.2191	TiOL3W_L461.avi	  34468	   9.5840	   2.3649	TiOL3W	Ellen										
3	TiOL3W_L461.avi	  44647	  12.4143	TiOL3W_L461.avi	  51295	  14.2628	   1.8485	TiOL3W	Ellen										
4	TiOL3W_L461.avi	  53693	  14.9296	TiOL3W_L461.avi	  60698	  16.8774	   1.9478	TiOL3W	Ellen										
5	TiOL3W_L461.avi	  63541	  17.6679	TiOL3W_L461.avi	  71312	  19.8287	   2.1608	TiOL3W	Ellen										
6	TiOL3W_L461.avi	  75316	  20.9420	TiOL3W_L461.avi	  83499	  23.2173	   2.2753	TiOL3W	Ellen										
1	POL3W_L461.avi	  77397	  21.5206	POL3W_L461.avi	  84848	  23.5924	   2.0718	POL3W	Jack										
2	POL3W_L461.avi	  94088	  26.1616	POL3W_L461.avi	 101605	  28.2518	   2.0901	POL3W	Jack										
3	POL3W_L461.avi	 108453	  30.1559	POL3W_L461.avi	 115476	  32.1087	   1.9528	POL3W	Jack										
4	POL3W_L461.avi	 121958	  33.9110	POL3W_L461.avi	 130340	  36.2417	   2.3307	POL3W	Jack										
5	POL3W_L461.avi	 144203	  40.0964	POL3W_L461.avi	 152327	  42.3553	   2.2589	POL3W	Jack										
6	POL3W_L461.avi	 168755	  46.9232	POL3W_L461.avi	 175596	  48.8253	   1.9022	POL3W	Jack										
1	TiIR4_L461.avi	  37790	  10.5077	TiIR4_L461.avi	  45165	  12.5584	   2.0507	TiIR4	Brooke										
2	TiIR4_L461.avi	  48536	  13.4957	TiIR4_L461.avi	  55228	  15.3565	   1.8607	TiIR4	Brooke										
3	TiIR4_L461.avi	  57527	  15.9957	TiIR4_L461.avi	  64221	  17.8570	   1.8613	TiIR4	Brooke										
4	TiIR4_L461.avi	  66570	  18.5102	TiIR4_L461.avi	  73792	  20.5183	   2.0081	TiIR4	Brooke										
5	TiIR4_L461.avi	  76291	  21.2132	TiIR4_L461.avi	  83320	  23.1676	   1.9545	TiIR4	Brooke										
6	TiIR4_L461.avi	  86167	  23.9592	TiIR4_L461.avi	  93551	  26.0124	   2.0532	TiIR4	Brooke										
1	TeOR3S_L461.avi	  28657	   7.9603	TeOR3S_L461.avi	  35907	   9.9742	   2.0139	TeOR3S	Ellen										
2	TeOR3S_L461.avi	  39404	  10.9456	TeOR3S_L461.avi	  47686	  13.2461	   2.3006	TeOR3S	Ellen										
3	TeOR3S_L461.avi	  50388	  13.9967	TeOR3S_L461.avi	  58047	  16.1242	   2.1275	TeOR3S	Ellen										
4	TeOR3S_L461.avi	  61005	  16.9458	TeOR3S_L461.avi	  69562	  19.3228	   2.3769	TeOR3S	Ellen										
5	TeOR3S_L461.avi	  72567	  20.1575	TeOR3S_L461.avi	  81539	  22.6497	   2.4922	TeOR3S	Ellen										
6	TeOR3S_L461.avi	  84241	  23.4003	TeOR3S_L461.avi	  94488	  26.2467	   2.8464	TeOR3S	Ellen										
1	MaOR1N_L461.avi	  40283	  11.2009	MaOR1N_L461.avi	  47342	  13.1637	   1.9628	MaOR1N	Ellen										
2	MaOR1N_L461.avi	  49519	  13.7690	MaOR1N_L461.avi	  55180	  15.3431	   1.5741	MaOR1N	Ellen										
3	MaOR1N_L461.avi	  58185	  16.1787	MaOR1N_L461.avi	  64622	  17.9685	   1.7898	MaOR1N	Ellen										
4	MaOR1N_L461.avi	  67784	  18.8477	MaOR1N_L461.avi	  75019	  20.8595	   2.0117	MaOR1N	Ellen										
5	MaOR1N_L461.avi	  80936	  22.5047	MaOR1N_L461.avi	  87838	  24.4239	   1.9191	MaOR1N	Ellen										
6	MaOR1N_L461.avi	  90902	  25.2758	MaOR1N_L461.avi	  96396	  26.8035	   1.5276	MaOR1N	Ellen										
1	MaOL3W_L461.avi	  33905	   9.4180	MaOL3W_L461.avi	  41206	  11.4461	   2.0280	MaOL3W	Ellen										
2	MaOL3W_L461.avi	  43728	  12.1466	MaOL3W_L461.avi	  51390	  14.2749	   2.1283	MaOL3W	Ellen										
3	MaOL3W_L461.avi	  53732	  14.9255	MaOL3W_L461.avi	  60975	  16.9374	   2.0119	MaOL3W	Ellen										
4	MaOL3W_L461.avi	  63630	  17.6749	MaOL3W_L461.avi	  70492	  19.5810	   1.9061	MaOL3W	Ellen										
5	MaOL3W_L461.avi	  73184	  20.3288	MaOL3W_L461.avi	  80468	  22.3521	   2.0233	MaOL3W	Ellen										
6	MaOL3W_L461.avi	  83809	  23.2802	MaOL3W_L461.avi	  91233	  25.3424	   2.0622	MaOL3W	Ellen										
1	TeOL4N_L461.avi	  10579	   2.9386	TeOL4N_L461.avi	  20639	   5.7330	   2.7944	TeOL4N	Ellen										
2	TeOL4N_L461.avi	  24882	   6.9116	TeOL4N_L461.avi	  33661	   9.3502	   2.4386	TeOL4N	Ellen										
3	TeOL4N_L461.avi	  37464	  10.4066	TeOL4N_L461.avi	  45761	  12.7113	   2.3047	TeOL4N	Ellen										
4	TeOL4N_L461.avi	  49482	  13.7449	TeOL4N_L461.avi	  58458	  16.2383	   2.4933	TeOL4N	Ellen										
5	TeOL4N_L461.avi	  63015	  17.5041	TeOL4N_L461.avi	  69870	  19.4083	   1.9042	TeOL4N	Ellen										
6	TeOL4N_L461.avi	  74284	  20.6344	TeOL4N_L461.avi	  83342	  23.1505	   2.5161	TeOL4N	Ellen										
1	MaOL2N_L461.avi	  49584	  13.7733	MaOL2N_L461.avi	  55841	  15.5113	   1.7380	MaOL2N	Ellen										
2	MaOL2N_L461.avi	  60678	  16.8549	MaOL2N_L461.avi	  67766	  18.8238	   1.9689	MaOL2N	Ellen										
3	MaOL2N_L461.avi	  76228	  21.1744	MaOL2N_L461.avi	  84223	  23.3952	   2.2208	MaOL2N	Ellen										
4	MaOL2N_L461.avi	  88624	  24.6177	MaOL2N_L461.avi	  95410	  26.5027	   1.8850	MaOL2N	Ellen										
5	MaOL2N_L461.avi	  99902	  27.7504	MaOL2N_L461.avi	 107914	  29.9760	   2.2255	MaOL2N	Ellen										
6	MaOL2N_L461.avi	 152592	  42.3865	MaOL2N_L461.avi	 160454	  44.5704	   2.1839	MaOL2N	Ellen										
1	TiIL2_L461.avi	  22334	   6.2101	TiIL2_L461.avi	  31509	   8.7613	   2.5512	TiIL2	Brooke										
2	TiIL2_L461.avi	  34825	   9.6833	TiIL2_L461.avi	  45951	  12.7769	   3.0936	TiIL2	Brooke										
3	TiIL2_L461.avi	  49965	  13.8931	TiIL2_L461.avi	  59849	  16.6414	   2.7483	TiIL2	Brooke										
4	TiIL2_L461.avi	  68352	  19.0057	TiIL2_L461.avi	  76758	  21.3430	   2.3373	TiIL2	Brooke										
5	TiIL2_L461.avi	  79312	  22.0532	TiIL2_L461.avi	  86038	  23.9234	   1.8702	TiIL2	Brooke										
6	TiIL2_L461.avi	  88673	  24.6560	TiIL2_L461.avi	  95004	  26.4164	   1.7604	TiIL2	Brooke										
