Periods

Generated: Wednesday, May 03, 2017 08:12:50

Period	Start filename	Start frame	Start time (mins)	End filename	End frame	End time (mins)	Period length (mins)	OpCode	Tape Reader	Depth	Comment								
6	NOR2S_L461.avi	  85761	  23.8224	NOR2S_L461.avi	  91910	  25.5305	   1.7080	NOR2S	Ellen										
1	MaIL2_L461.avi	  29918	   8.3189	MaIL2_L461.avi	  36725	  10.2116	   1.8927	MaIL2	Brooke										
2	MaIL2_L461.avi	  43226	  12.0192	MaIL2_L461.avi	  52444	  14.5824	   2.5631	MaIL2	Brooke										
3	MaIL2_L461.avi	  57110	  15.8798	MaIL2_L461.avi	  66463	  18.4804	   2.6007	MaIL2	Brooke										
4	MaIL2_L461.avi	  71513	  19.8846	MaIL2_L461.avi	  79598	  22.1327	   2.2481	MaIL2	Brooke										
5	MaIL2_L461.avi	  85761	  23.8463	MaIL2_L461.avi	  93689	  26.0508	   2.2044	MaIL2	Brooke										
6	MaIL2_L461.avi	  98474	  27.3813	MaIL2_L461.avi	 105117	  29.2284	   1.8471	MaIL2	Brooke										
1	TiOL2E_L461.avi	  51692	  14.3732	TiOL2E_L461.avi	  60355	  16.7820	   2.4088	TiOL2E	Ellen										
2	TiOL2E_L461.avi	  65465	  18.2029	TiOL2E_L461.avi	  75054	  20.8691	   2.6663	TiOL2E	Ellen										
3	TiOL2E_L461.avi	  95785	  26.6335	TiOL2E_L461.avi	 103766	  28.8527	   2.2192	TiOL2E	Ellen										
4	TiOL2E_L461.avi	 108906	  30.2819	TiOL2E_L461.avi	 116734	  32.4585	   2.1766	TiOL2E	Ellen										
5	TiOL2E_L461.avi	 150181	  41.7586	TiOL2E_L461.avi	 157360	  43.7547	   1.9962	TiOL2E	Ellen										
6	TiOL2E_L461.avi	 163495	  45.4606	TiOL2E_L461.avi	 173266	  48.1775	   2.7169	TiOL2E	Ellen										
1	MoOR1S_L461.avi	  13167	   3.6612	MoOR1S_L461.avi	  20879	   5.8055	   2.1444	MoOR1S	Ellen										
2	MoOR1S_L461.avi	  24352	   6.7712	MoOR1S_L461.avi	  30796	   8.5630	   1.7918	MoOR1S	Ellen										
3	MoOR1S_L461.avi	  32962	   9.1653	MoOR1S_L461.avi	  41088	  11.4248	   2.2595	MoOR1S	Ellen										
4	MoOR1S_L461.avi	  44977	  12.5061	MoOR1S_L461.avi	  52630	  14.6341	   2.1280	MoOR1S	Ellen										
5	MoOR1S_L461.avi	  56704	  15.7669	MoOR1S_L461.avi	  64806	  18.0197	   2.2528	MoOR1S	Ellen										
6	MoOR1S_L461.avi	  67080	  18.6520	MoOR1S_L461.avi	  75785	  21.0725	   2.4205	MoOR1S	Ellen										
1	TiOR2E_L461.avi	  24743	   6.8799	TiOR2E_L461.avi	  30628	   8.5163	   1.6364	TiOR2E	Ellen										
2	TiOR2E_L461.avi	  35097	   9.7589	TiOR2E_L461.avi	  41208	  11.4581	   1.6992	TiOR2E	Ellen										
3	TiOR2E_L461.avi	  49615	  13.7957	TiOR2E_L461.avi	  56818	  15.7986	   2.0028	TiOR2E	Ellen										
4	TiOR2E_L461.avi	  59827	  16.6352	TiOR2E_L461.avi	  67368	  18.7321	   2.0968	TiOR2E	Ellen										
5	TiOR2E_L461.avi	  70546	  19.6157	TiOR2E_L461.avi	  78669	  21.8744	   2.2586	TiOR2E	Ellen										
6	TiOR2E_L461.avi	  82968	  23.0697	TiOR2E_L461.avi	  90044	  25.0373	   1.9675	TiOR2E	Ellen										
1	NIR2_L461.avi	  40764	  11.3347	NIR2_L461.avi	  47972	  13.3389	   2.0042	NIR2	Brooke										
2	NIR2_L461.avi	  50787	  14.1216	NIR2_L461.avi	  58235	  16.1926	   2.0710	NIR2	Brooke										
3	NIR2_L461.avi	  62162	  17.2845	NIR2_L461.avi	  68814	  19.1341	   1.8496	NIR2	Brooke										
4	NIR2_L461.avi	  71664	  19.9266	NIR2_L461.avi	  79323	  22.0562	   2.1296	NIR2	Brooke										
5	NIR2_L461.avi	  81843	  22.7569	NIR2_L461.avi	  89056	  24.7625	   2.0056	NIR2	Brooke										
6	NIR2_L461.avi	  92386	  25.6885	NIR2_L461.avi	  99375	  27.6318	   1.9433	NIR2	Brooke										
1	MaOR3W_L461.avi	  59662	  16.5727	MaOR3W_L461.avi	  66829	  18.5635	   1.9908	MaOR3W	Ellen										
2	MaOR3W_L461.avi	  69138	  19.2049	MaOR3W_L461.avi	  76722	  21.3116	   2.1067	MaOR3W	Ellen										
3	MaOR3W_L461.avi	 113667	  31.5740	MaOR3W_L461.avi	 121396	  33.7210	   2.1469	MaOR3W	Ellen										
4	MaOR3W_L461.avi	 124462	  34.5726	MaOR3W_L461.avi	 131977	  36.6601	   2.0875	MaOR3W	Ellen										
5	MaOR3W_L461.avi	 133752	  37.1532	MaOR3W_L461.avi	 140185	  38.9401	   1.7869	MaOR3W	Ellen										
6	MaOR3W_L461.avi	 142938	  39.7048	MaOR3W_L461.avi	 151616	  42.1154	   2.4105	MaOR3W	Ellen										
1	NOL1S_L461.avi	  32988	   9.1725	NOL1S_L461.avi	  39614	  11.0149	   1.8424	NOL1S	Ellen										
2	NOL1S_L461.avi	  44103	  12.2631	NOL1S_L461.avi	  51864	  14.4210	   2.1580	NOL1S	Ellen										
3	NOL1S_L461.avi	  99600	  27.6943	NOL1S_L461.avi	 106047	  29.4869	   1.7926	NOL1S	Ellen										
4	NOL1S_L461.avi	 116679	  32.4432	NOL1S_L461.avi	 123450	  34.3259	   1.8827	NOL1S	Ellen										
5	NOL1S_L461.avi	 126697	  35.2287	NOL1S_L461.avi	 132521	  36.8481	   1.6194	NOL1S	Ellen										
6	NOL1S_L461.avi	 140900	  39.1779	NOL1S_L461.avi	 147692	  41.0665	   1.8885	NOL1S	Ellen										
1	TeIR2_L461.avi	  43976	  12.2278	TeIR2_L461.avi	  51532	  14.3288	   2.1010	TeIR2	Brooke										
2	TeIR2_L461.avi	  54822	  15.2436	TeIR2_L461.avi	  62501	  17.3788	   2.1352	TeIR2	Brooke										
3	TeIR2_L461.avi	  66274	  18.4279	TeIR2_L461.avi	  73864	  20.5383	   2.1104	TeIR2	Brooke										
4	TeIR2_L461.avi	  77691	  21.6024	TeIR2_L461.avi	  84796	  23.5780	   1.9756	TeIR2	Brooke										
5	TeIR2_L461.avi	  88304	  24.5534	TeIR2_L461.avi	  95615	  26.5863	   2.0329	TeIR2	Brooke										
6	TeIR2_L461.avi	 100071	  27.8253	TeIR2_L461.avi	 108250	  30.0995	   2.2742	TeIR2	Brooke										
1	NOL3S_L461.avi	  50465	  14.0320	NOL3S_L461.avi	  57418	  15.9654	   1.9333	NOL3S	Brooke										
2	NOL3S_L461.avi	  59256	  16.4764	NOL3S_L461.avi	  65047	  18.0866	   1.6102	NOL3S	Brooke										
3	NOL3S_L461.avi	  66926	  18.6091	NOL3S_L461.avi	  73538	  20.4476	   1.8385	NOL3S	Brooke										
4	NOL3S_L461.avi	  76948	  21.3958	NOL3S_L461.avi	  84892	  23.6046	   2.2089	NOL3S	Brooke										
5	NOL3S_L461.avi	  87840	  24.4244	NOL3S_L461.avi	  95511	  26.5573	   2.1330	NOL3S	Brooke										
6	NOL3S_L461.avi	 103394	  28.7492	NOL3S_L461.avi	 110770	  30.8002	   2.0509	NOL3S	Brooke										
1	NOL4S_L461.avi	  37107	  10.3178	NOL4S_L461.avi	  42975	  11.9494	   1.6316	NOL4S	Ellen										
2	NOL4S_L461.avi	  44802	  12.4575	NOL4S_L461.avi	  50429	  14.0221	   1.5646	NOL4S	Ellen										
3	NOL4S_L461.avi	  54337	  15.1087	NOL4S_L461.avi	  61394	  17.0710	   1.9622	NOL4S	Ellen										
4	NOL4S_L461.avi	  67237	  18.6956	NOL4S_L461.avi	  76370	  21.2351	   2.5395	NOL4S	Ellen										
