3D Point and Length Measurements

Generated: Tuesday, February 12, 2019 13:05:27

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	MAD	Incoming
MaOL1N_L461.avi	  26880	   7.4666	1	   0.1667		28.854	0.664	7947.672	15.183			2005.856	597.944	-7667.104	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26891	   7.4697	1	   0.1697	212.962	18.597	6.840	5024.649	22.093	24.392	6.678	1863.957	311.556	-4655.716	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	multispecies school A		
MaOL1N_L461.avi	  26918	   7.4772	1	   0.1772	117.483	12.788	4.490	3466.386	5.126	47.483	18.264	-286.508	117.577	-3452.523	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	binotatus	37437021	1	AD	Passing		0.95	
MaOL1N_L461.avi	  26967	   7.4908	1	   0.1908		0.974	0.283	1267.499	20.193			-347.027	-259.956	-1191.029	MaOL1N	Ellen											Labridae	Halichoeres	trimaculatus	37384122	1	AD	Passing			
MaOL1N_L461.avi	  26985	   7.4958	1	   0.1958		2.387	0.094	2131.070	20.598			-744.286	-79.157	-1995.303	MaOL1N	Ellen											Labridae	Thalassoma	amblycephalum	37384164	1	AD	Passing			
MaOL1N_L461.avi	  26992	   7.4977	1	   0.1978		23.407	5.277	7368.038	8.760			1012.755	522.864	-7279.349	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  27113	   7.5314	1	   0.2314		33.495	5.092	8983.473	7.590			-123.950	1228.659	-8898.192	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  27291	   7.5808	1	   0.2808		25.481	1.240	7369.835	16.350			1888.286	897.908	-7067.009	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  27384	   7.6066	1	   0.3067	146.974	3.695	0.615	3542.503	8.008	6.002	6.453	-443.814	215.867	-3507.956	MaOL1N	Ellen											Mullidae	Parupeneus	multifasciatus	37355026	1	AD	Passing			
MaOL1N_L461.avi	  27390	   7.6083	1	   0.3083	168.930	4.146	2.388	3176.523	11.080	10.360	14.337	-591.243	151.943	-3117.314	MaOL1N	Ellen											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
MaOL1N_L461.avi	  27397	   7.6102	1	   0.3103		28.954	0.737	7818.411	16.339			-1773.672	1341.566	-7495.454	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  27500	   7.6389	1	   0.3389		8.096	1.638	4195.563	10.696			669.655	419.909	-4120.435	MaOL1N	Ellen											Labridae	Halichoeres	trimaculatus	37384122	1	AD	Passing			
MaOL1N_L461.avi	  27521	   7.6447	1	   0.3447		23.026	0.801	7215.577	10.714			1213.524	610.335	-7086.564	MaOL1N	Ellen											Scaridae	Scarus	sp9		1	AD	Passing			
MaOL1N_L461.avi	  27708	   7.6966	1	   0.3967		2.699	0.046	2285.769	23.793			921.617	42.412	-2091.306	MaOL1N	Ellen											Labridae	Halichoeres	sp9		1	AD	Passing			
MaOL1N_L461.avi	  28178	   7.8272	1	   0.5272		0.985	1.777	1271.651	10.520			144.322	-175.046	-1251.250	MaOL1N	Ellen											Labridae	Halichoeres	sp7		1	AD	Passing			
MaOL1N_L461.avi	  28205	   7.8347	1	   0.5347		9.002	2.745	4310.650	16.474			-1056.783	636.882	-4130.290	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  28259	   7.8497	1	   0.5497		12.007	3.889	4956.251	18.758			-1388.846	807.438	-4688.664	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  28353	   7.8758	1	   0.5758		0.704	0.071	1020.401	11.339			21.558	-194.006	-1001.556	MaOL1N	Ellen											Labridae	Halichoeres	sp7		1	AD	Passing			
MaOL1N_L461.avi	  28353	   7.8758	1	   0.5758		0.886	0.238	1188.532	8.670			98.586	-143.194	-1175.749	MaOL1N	Ellen											Labridae	Halichoeres	sp7		1	AD	Passing			
MaOL1N_L461.avi	  28397	   7.8880	1	   0.5881		1.146	0.670	1403.434	3.861			-17.148	-85.299	-1400.735	MaOL1N	Ellen											Labridae	Halichoeres	sp9		1	AD	Passing			
MaOL1N_L461.avi	  28756	   7.9877	1	   0.6878	126.303	1.778	2.365	1828.535	13.980	11.404	18.273	-435.577	-73.557	-1774.374	MaOL1N	Ellen											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
MaOL1N_L461.avi	  28957	   8.0436	1	   0.7436	78.756	11.487	4.005	3869.898	4.109	30.613	9.538	-14.085	276.929	-3859.951	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  29760	   8.2666	1	   0.9667	231.175	9.481	4.826	3362.297	3.321	33.405	9.552	172.500	-90.422	-3356.652	MaOL1N	Ellen											Serranidae	Cephalopholis	argus	37311082	1	AD	Passing			
MaOL1N_L461.avi	  29794	   8.2761	1	   0.9761	139.883	18.281	2.925	5269.952	20.381	19.714	9.336	-1825.076	193.966	-4940.027	MaOL1N	Ellen											Balistidae	Balistapus	undulatus	37465047	1	AD	Passing			
MaOL1N_L461.avi	  29796	   8.2766	1	   0.9767		1.514	0.628	1645.896	14.914			-244.290	-337.376	-1592.317	MaOL1N	Ellen											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
MaOL1N_L461.avi	  29852	   8.2922	1	   0.9922		12.877	1.852	5200.814	21.937			-1934.789	204.166	-4823.212	MaOL1N	Ellen											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaOL1N_L461.avi	  30325	   8.4236	1	   1.1236		3.864	1.216	2852.500	8.682			319.408	-273.416	-2821.344	MaOL1N	Ellen											Labridae	Thalassoma	quinquevittatum	37384170	1	AD	Passing			
MaOL1N_L461.avi	  30345	   8.4291	1	   1.1292		7.665	3.372	3987.251	29.195			1915.411	-318.518	-3482.517	MaOL1N	Ellen											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaOL1N_L461.avi	  30938	   8.5939	1	   1.2939	186.888	9.471	1.403	4768.249	15.005	9.199	22.312	-1197.802	-298.859	-4605.665	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			Y
MaOL1N_L461.avi	  30983	   8.6064	1	   1.3064		11.993	3.494	5030.519	19.884			-1690.423	-238.723	-4731.976	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  30991	   8.6086	1	   1.3086		11.640	1.214	4959.927	19.204			-1610.212	-237.085	-4685.284	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  31050	   8.6250	1	   1.3250	105.296	2.818	3.207	1924.760	15.074	28.818	1.930	-140.210	-480.516	-1858.534	MaOL1N	Ellen											Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
MaOL1N_L461.avi	  31301	   8.6947	1	   1.3947	190.978	17.690	8.554	4836.029	17.274	27.245	0.545	1423.500	189.427	-4617.894	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  31308	   8.6966	1	   1.3967	205.487	8.194	5.930	4519.989	12.278	8.811	3.526	960.714	31.494	-4416.598	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  31482	   8.7450	1	   1.4450	147.241	10.811	10.006	7559.407	6.740	1.037	3.704	868.750	-179.847	-7507.167	MaOL1N	Ellen											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
MaOL1N_L461.avi	  31507	   8.7519	1	   1.4519	198.840	19.184	7.220	5553.321	18.846	19.960	15.203	1734.834	-456.558	-5255.595	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  31550	   8.7639	1	   1.4639		19.644	2.627	6923.520	5.217			628.997	11.711	-6894.878	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  31550	   8.7639	1	   1.4639		19.379	0.150	6815.302	6.857			811.555	-21.761	-6766.775	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
