"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","reef","sd.relief","hard.corals","mean.relief","status","cumsum.wi"
"number in school.null","null",4806.20813597246,4880.57223056189,0.00703,NA,14.41,0,0.054,0.265,0.172,0.388,0,0,0,0,0,0.348
"number in school.reef+status","reef+status",4807.05851267126,4884.87054557092,0.00727,NA,15.15,0,0.904,4.563,0.112,0.045,1,0,0,0,1,0.46
"number in school.reef","reef",4807.16405148486,4885.37831760597,0.00754,NA,15.28,0,1.009,5.071,0.106,0.035,1,0,0,0,0,0.566
"number in school.hard.corals","hard.corals",4807.59692157382,4885.78619002718,0.00655,NA,15.26,0,1.442,5.479,0.086,0.029,0,0,1,0,0,0.652
"number in school.mean.relief","mean.relief",4807.983079016,4886.13991979422,0.00705,NA,15.27,0,1.829,5.833,0.071,0.024,0,0,0,1,0,0.723
"number in school.sd.relief","sd.relief",4807.98879496952,4886.17276200722,0.00708,NA,15.28,0,1.834,5.866,0.07,0.024,0,1,0,0,0,0.793
"number in school.hard.corals+reef","hard.corals+reef",4808.04018763984,4890.01781680539,0.00705,NA,16.13,0,1.886,9.711,0.069,0.003,1,0,1,0,0,0.862
"number in school.reef.by.status+status","reef.by.status+status",4808.24693875761,4889.64673852557,0.00726,NA,15.97,0,2.092,9.34,0.062,0.004,1,0,0,0,1,0.924
"number in school.hard.corals+mean.relief","hard.corals+mean.relief",4809.13932455105,4891.14891461409,0.00672,NA,16.14,0,2.985,10.842,0.04,0.002,0,0,1,1,0,0.964
"number of schools.mean.relief","mean.relief",539.143099512204,575.152706491125,0.12806,NA,14.39,0,0,2.007,0.254,0.153,0,0,0,1,0,0.254
"number of schools.null","null",539.637289485942,573.145317473164,0.09974,NA,13.12,0,0.494,0,0.198,0.418,0,0,0,0,0,0.452
"number of schools.hard.corals","hard.corals",539.655288634779,577.156334144798,0.11347,NA,14.9,0,0.512,4.011,0.196,0.056,0,0,1,0,0,0.648
"number of schools.status","status",540.159753395701,573.902221420221,0.08618,NA,13.21,0,1.017,0.757,0.153,0.286,0,0,0,0,1,0.801
"number of schools.hard.corals+reef","hard.corals+reef",541.721421244363,582.197769711143,0.14606,NA,15.84,0,2.578,9.052,0.07,0.005,1,0,1,0,0,0.871
"number of schools.sd.relief","sd.relief",541.776462886289,576.657951569329,0.09796,NA,13.96,0,2.633,3.513,0.068,0.072,0,1,0,0,0,0.939
