OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
TeOR3S	0	0	0.00000	0	TeOR3S_R462.avi	129346	60.00000
TeOR3S	1	0	0.00000	0	TeOR3S_R462.avi	129346	60.00000
TeOR3S	1	0	0.00000	0	TeOR3S_L461.avi	129346	60.00000
TiOL2E	0	0	0.00000	0	TiOL2E_L461.avi	173537	59.94018
TiOL2E	0	0	0.00000	0	TiOL2E_L461.avi	173538	59.94018
TiOL2E	1	0	0.00000	0	TiOL2E_L461.avi	173537	59.94018
TiOL2E	1	0	0.00000	0	TiOL2E_R462.avi	215361	59.94018
TiOL2E	1	0	0.00000	0	TiOL2E_R462.avi	215362	59.94018
TiOL3W	0	0	0.00000	0	TiOL3W_L461.avi	131361	59.94018
TiOL3W	1	0	0.00000	0	TiOL3W_L461.avi	131361	59.94018
TiOL3W	1	0	0.00000	0	TiOL3W_R462.avi	129249	59.94018
TiOL4W	0	0	0.00000	0	TiOL4W_L461.avi	130849	59.94018
TiOL4W	1	0	0.00000	0	TiOL4W_L461.avi	130849	59.94018
TiOL4W	1	0	0.00000	0	TiOL4W_R462.avi	129217	59.94018
TiOL5	0	0	0.00000	0	TiOL5_L461.avi	129217	59.94018
TiOL5	0	0	0.00000	0	TiOL5_R462.avi	128078	59.94018
TiOL5	1	0	0.00000	0	TiOL5_L461.avi	129217	59.94018
TiOL5	1	0	0.00000	0	TiOL5_R462.avi	128078	59.94018
TiOR1W	0	0	0.00000	0	TiOR1W_L461.avi	130625	59.94000
TiOR1W	1	0	0.00000	0	TiOR1W_L461.avi	130625	59.94000
TiOR1W	1	0	0.00000	0	TiOR1W_R462.avi	130529	59.94000
TiOR2E	0	0	0.00000	0	TiOR2E_L461.avi	129217	59.94000
TiOR2E	1	0	0.00000	0	TiOR2E_L461.avi	129217	59.94000
TiOR2E	1	0	0.00000	0	TiOR2E_R462.avi	86145	59.94000
TiOR3E	0	0	0.00000	0	TiOR3E_L461.avi	129217	59.94000
TiOR3E	1	0	0.00000	0	TiOR3E_L461.avi	129217	59.94000
TiOR3E	1	0	0.00000	0	TiOR3E_R462.avi	129249	59.94000
TiOR4E	0	0	0.00000	0	TiOR4E_L461.avi	86145	59.94000
TiOR4E	1	0	0.00000	0	TiOR4E_L461.avi	86145	59.94000
TiOR4E	1	0	0.00000	0	TiOR4E_R462.avi	129281	59.94000
