FAMILY	GENUS	SPECIES	CAAB CODE			
Hydrophiidae			39125000			
Hypnidae			37028904			
Idiacanthidae			37113000			
Ipnopidae			37123000			
Istiophoridae			37444000			
Kowalevskiidae			35202000			
Kraemeriidae			37432000			
Krohnittidae			36032000			
Kuhliidae			37323000			
Kurtidae			37436000			
Kyphosidae			37361908			
"Kyphosidae, Scorpididae"			37361000			
Labracoglossidae			37332000			
Labridae			37384000			
Lactariidae			37333000			
Lamnidae			37010000			
Lampridae			37268000			
Latidae			37310907			
"Latidae, Ambassidae"			37310000			
Latridae			37378000			
Leiognathidae			37341000			
Lepidogalaxiidae			37102907			
Leptobramidae			37357905			
Leptoscopidae			37398000			
Lethrinidae			37351000			
Linophrynidae			37222000			
Liparidae			37307000			
Lipogenyidae			37082000			
Lobotidae			37348000			
Lophichthyidae			37210917			
Lophiidae			37208000			
Lophotidae			37270000			
Lutjanidae			37346901			
Luvaridae			37443000			
Macroramphosidae			37279000			
Macrouridae			37232000			
Macruronidae			37227904			
Malacanthidae			37331000			
Malacosteidae			37110000			
Mastacembelidae			37455000			
Megachasmidae			37009904			
"Megachasmidae, Mitsukurinidae, Pseudocarchariidae"			37009000			
Megalopidae			37054000			
Melamphaidae			37251000			
Melanocetidae			37213000			
Melanonidae			37224918			
"Melanonidae, Moridae, Euclichthyidae"			37224000			
Melanostomiidae			37109000			
Melanotaeniidae			37245908			
Menidae			37340000			
Merlucciidae			37227000			
Microdesmidae			37435000			
Microstomatidae			37097906			
Mirapinnidae			37137000			
Mitsukurinidae			37009905			
Mobulidae			37041000			
Molgulidae			35031000			
Molidae			37470000			
Monacanthidae			37465901			
Monocentrididae			37259000			
Monodactylidae			37356000			
Moridae			37224900			
Moringuidae			37057000			
Mugilidae			37381000			
Mullidae			37355000			
Muraenesocidae			37063000			
Muraenidae			37060000			
Muraenolepididae			37223000			
Myctophidae			37122000			
Myliobatidae			37039000			
Myxinidae			37004000			
Narcinidae			37028905			
Nemichthyidae			37076000			
Nemipteridae			37347000			
Neoceratiidae			37218000			
Neoscopelidae			37121000			
Neosebastidae			37287947			
Nettastomatidae			37065000			
Nomeidae			37446000			
Notacanthidae			37083000			
Notocheiridae			37247000			
Notograptidae			37412000			
Notopteridae			37091000			
Notosudidae			37125000			
Nototheniidae			37404000			
Nymphonidae			33010000			
Odacidae			37385000			
Odontaspididae			37008000			
Ogcocephalidae			37212000			
Oikopleuridae			35203000			
Omosudidae			37127000			
Oneirodidae			37216000			
Ophichthidae			37068000			
Ophiclinidae			37414000			
Ophidiidae			37228961			
Opisthoproctidae			37099000			
Opistognathidae			37388000			
Oplegnathidae			37369000			
Order Enterogona			35026000			
Order Pleurogona			35028000			
Orectolobidae			37013900			
Oreosomatidae			37266000			
Osmeridae			37096750			
Osphronemidae			37453000			
Osteoglossidae			37088000			
Ostraciidae			37466000			
Ostracoberycidae			37311959			
Oxynotidae			37021000			
Pallenopsidae			33020000			
Pangasiidae			37177000			
Parabrotulidae			37228962			
Paralepididae			37126000			
Paralichthyidae			37460924			
Parascylliidae			37013913			
Paraulopidae			37120907			
Parazenidae			37262000			
Pataecidae			37292906			
Pegasidae			37309000			
Pempherididae			37357000			
Pentacerotidae			37367000			
Percichthyidae			37311953			
Percidae			37329000			
Percophidae			37393000			
Peristediidae			37288902			
Perophoridae			35004000			
Petromyzontidae			37003000			
Pholidichthyidae			37397000			
Phosichthyidae			37106913			
Phoxichilidiidae			33015000			
Phycidae			37226909			
Phylum Hemichordata			36100000			
Pinguipedidae			37390000			
Platycephalidae			37296000			
Platytroctidae			37115000			
Plesiobatidae			37038905			
Plesiopidae			37316000			
Pleuronectidae			37461000			
Plotosidae			37192000			
Plurellidae			35005000			
Poeciliidae			37244000			
Polycitoridae			35018000			
Polyclinidae			35019000			
Polymixiidae			37253000			
Polynemidae			37383000			
Polyprionidae			37311902			
Pomacanthidae			37365901			
Pomacentridae			37372000			
Pomatomidae			37334000			
Priacanthidae			37326000			
Pristidae			37025000			
Pristigasteridae			37085923			
Pristiophoridae			37023000			
Protopolyclinidae			35020000			
Prototroctidae			37103904			
Psettodidae			37457000			
Pseudocarchariidae			37009906			
Pseudochromidae			37313000			
Pseudodistomidae			35021000			
Pseudogrammatidae			37314000			
Pseudomugilidae			37245907			
"Pseudomugilidae, Melanotaeniidae"			37245000			
Pseudotriakidae			37016000			
Psychrolutidae			37305000			
Pteroidae			37287948			
Pterosagittidae			36028000			
Ptychoderidae			36117000			
Pycnoclavellidae			35022000			
Pycnogonidae			33017000			
Pyrosomatidae			35101000			
Pyuridae			35032000			
Rachycentridae			37335000			
Rajidae			37031000			
Regalecidae			37272000			
Retropinnidae			37101000			
Rhabdopleuridae			36126000			
Rhincodontidae			37014000			
Rhinidae			37026902			
Rhinobatidae			37027000			
Rhinochimaeridae			37044000			
Rhinoprenidae			37364000			
Rhinopteridae			37040000			
Rhynchobatidae			37026903			
Rhynchothoracidae			33018000			
Ritterellidae			35023000			
Rondeletiidae			37133000			
Saccopharyngidae			37078000			
Sagittidae			36027000			
Salangidae			37100000			
Salmonidae			37094000			
Salpidae			35103000			
Scaridae			37386000			
Scatophagidae			37363000			
Schindleriidae			37424000			
Sciaenidae			37354000			
Scomberesocidae			37236000			
Scombridae			37441000			
Scombrolabracidae			37439917			
"Scombrolabracidae, Gempylidae"			37439000			
Scopelarchidae			37131000			
Scorpaenidae			37287900			
Scorpididae			37361900			
Scyliorhinidae			37015000			
Sebastidae			37287790			
Serranidae			37311901			
Serrivomeridae			37075000			
Setarchidae			37287950			
Siganidae			37438000			
Sillaginidae			37330000			
Siluridae			37175750			
Soleidae			37462000			
Solenostomidae			37281000			
Somniosidae			37020924			
Sparidae			37353000			
Spengelidae			36116000			
Sphyraenidae			37382000			
Sphyrnidae			37019000			
Squalidae			37020923			
Squatinidae			37024000			
Stegostomatidae			37013914			
Sternoptychidae			37107000			
Stomiidae			37112000			
Stomozoidae			35024000			
Stromateidae			37448000			
Styelidae			35033000			
Subphylum Cephalochordata			36200000			
Symphysanodontidae			37346933			
Synanceiidae			37287951			
Synaphobranchidae			37070000			
Synbranchidae			37285000			
Syngnathidae			37282000			
Synodontidae			37118906			
Terapontidae			37321000			
Tetrabrachiidae			37210916			
Tetragonuridae			37449000			
Tetraodontidae			37467000			
Tetrarogidae			37287952			
Torpedinidae			37028900			
"Torpedinidae, Hypnidae, Narcinidae"			37028000			
Toxotidae			37359000			
Trachichthyidae			37255000			
Trachipteridae			37271000			
Triacanthidae			37464911			
"Triacanthidae, Triacanthodidae"			37464000			
Triacanthodidae			37464912			
Triakidae			37017000			
Trichiuridae			37440000			
Trichonotidae			37394000			
Triglidae			37288000			
Triodontidae			37468000			
Tripterygiidae			37415000			
Uranoscopidae			37400000			
Urolophidae			37038904			
Urolophidae & Plesiobatidae			37038000			
Veliferidae			37269000			
Xenisthmidae			37429922			
Xiphiidae			37442000			
Zanclidae			37437908			
Zeidae			37264906			
"Zeidae, Cyttidae"			37264000			
Zeniontidae			37263000			
Zoarcidae			37231000			
Balistidae	Abalistes		37465904			
Tetrarogidae	Ablabys		37287905			
Belonidae	Ablennes		37235901			
Pomacentridae	Abudefduf		37372901			
Hydrophiidae	Acalyptophis		39125901			
Monacanthidae	Acanthaluteres		37465905			
Percophidae	Acanthaphritis		37393901			
Serranidae	Acanthistius		37311912			
Cepolidae	Acanthocepola		37380901			
Pomacentridae	Acanthochromis		37372902			
Scombridae	Acanthocybium		37441913			
Bathydraconidae	Acanthodraco		37406901			
Gobiidae	Acanthogobius		37428901			
Sparidae	Acanthopagrus		37353904			
Aploactinidae	Acanthosphex		37290901			
Ostraciidae	Acanthostracion		37466901			
Acanthuridae	Acanthurus		37437901			
Bythitidae	Acarobythites		37228902			
Gobiidae	Acentrogobius		37428902			
Syngnathidae	Acentronura		37282901			
Ammotheidae	Achelia		33012901			
Labridae	Achoerodus		37384905			
Monacanthidae	Acreichthys		37465906			
Acropomatidae	Acropoma		37311913			
Agneziidae	Adagnesia		35001901			
Aploactinidae	Adventor		37290902			
Centriscidae	Aeoliscus		37280901			
Cichlidae	Aequidens		37371901			
Soleidae	Aesopia		37462901			
Pataecidae	Aetapcus		37292901			
Serranidae	Aethaloperca		37311914			
Nototheniidae	Aethotaxis		37404901			
Myliobatidae	Aetobatus		37039902			
Myliobatidae	Aetomylaeus		37039903			
Gobiidae	Afurcagobius		37428903			
Agneziidae	Agnezia		35001902			
Regalecidae	Agrostichthys		37272901			
Sagittidae	Aidanosagitta		36027903			
Microdesmidae	Aioliops		37435901			
Hydrophiidae	Aipysurus		39125902			
Bathydraconidae	Akarotaxis		37406902			
Gobiesocidae	Alabes		37206901			
Albulidae	Albula		37055901			
Mugilidae	Aldrichetta		37381901			
Halosauridae	Aldrovandia		37081901			
Carangidae	Alectis		37337909			
Carangidae	Alepes		37337914			
Alepisauridae	Alepisaurus		37128901			
Alepocephalidae	Alepocephalus		37114013			
Bythitidae	Alionematichthys		37228903			
Antennariidae	Allenichthys		37210901			
Ophichthidae	Allips		37068901			
Oreosomatidae	Allocyttus		37266903			
Xenisthmidae	Allomicrodesmus		37429901			
Diodontidae	Allomycterus		37469901			
Scombridae	Allothunnus		37441914			
