"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","hard.corals","reef","mean.length","school.size","Status","cumsum.wi"
"high-target","mean.length+mean.relief+school.size",68767.804809476,68900.8410696856,0.26418,NA,20.15,0,0,0,0.867,0.991,1,0,0,0,1,1,0,0.867
"mod-target.mean.length.by.Status+reef+Status","mean.length.by.Status+reef+Status",10856.4615176706,10942.8275947017,0.32992,NA,18.74,0,0,5.405,0.371,0.026,0,0,0,1,1,0,1,0.371
"mod-target.mean.length.by.Status+reef.by.Status+Status","mean.length.by.Status+reef.by.Status+Status",10856.7762244169,10949.5899979314,0.33303,NA,20.24,0,0.315,12.167,0.317,0.001,0,0,0,1,1,0,1,0.688
"non-target.mean.length+reef+school.size","mean.length+reef+school.size",25957.0453963905,26044.1763585417,0.17987,NA,15.37,0,0,0.95,0.323,0.101,0,0,0,1,1,1,0,0.323
"non-target.mean.length+mean.relief+school.size","mean.length+mean.relief+school.size",25958.7701991616,26044.6896723832,0.17868,NA,15.14,0,1.725,1.463,0.136,0.078,1,0,0,0,1,1,0,0.459
